order_id,customer_id,order_date,order_created_at,order_year,order_month,order_day_of_week,order_hour,order_name,order_number,subtotal_amount,discount_amount,tax_amount,tip_amount,total_amount,line_items_total,discount_rate,line_item_count,total_quantity,fulfillment_count,hours_to_first_fulfillment,payment_status,fulfillment_status,is_canceled,is_fully_delivered,is_first_order,customer_order_sequence,customer_lifetime_value,customer_total_orders,order_source,referring_site,order_size_bucket,accepts_marketing
5946857324596,8275121700916,2026-01-21,2026-01-21 17:29:19+00:00,2026,1,4,17,#JC730962,730962,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,0,paid,fulfilled,False,False,True,1,0.0,1,TikTok,direct,small,False
5943748427828,8271676506164,2026-01-19,2026-01-19 19:10:19+00:00,2026,1,2,19,#JC729928,729928,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,0,paid,fulfilled,False,False,True,1,0.0,1,TikTok,direct,small,False
5943465115700,8271470264372,2026-01-19,2026-01-19 17:01:18+00:00,2026,1,2,17,#JC729847,729847,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,1,paid,fulfilled,False,False,True,1,0.0,1,TikTok,direct,small,False
5946912800820,8275207258164,2026-01-21,2026-01-21 18:18:19+00:00,2026,1,4,18,#JC730988,730988,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,1,0,paid,fulfilled,False,False,True,1,0.0,1,TikTok,direct,small,False
5942759325748,8270506459188,2026-01-19,2026-01-19 03:47:21+00:00,2026,1,2,3,#JC729611,729611,12.99,2.0,0.78,0.0,13.77,14.99,0.15396458814472672,1,1,1,10,paid,fulfilled,False,False,True,1,13.77,1,TikTok,direct,small,False
5918598725684,8234720788532,2026-01-02,2026-01-02 18:29:27+00:00,2026,1,6,18,#JC716329,716329,14.37,15.62,0.87,0.0,15.24,29.99,1.0869867780097424,1,1,1,65,paid,fulfilled,False,True,True,1,15.24,1,TikTok,direct,small,False
5916356083764,8231757381684,2026-01-01,2026-01-01 11:22:27+00:00,2026,1,5,11,#JC714220,714220,15.29,14.7,1.27,0.0,16.56,29.99,0.9614126880313931,1,1,1,25,paid,fulfilled,False,True,True,1,16.56,1,TikTok,direct,small,False
5920770588724,8240834379828,2026-01-04,2026-01-04 02:45:26+00:00,2026,1,1,2,#JC718335,718335,16.15,2.84,1.33,0.0,17.48,18.99,0.17585139318885448,1,1,1,34,paid,fulfilled,False,True,True,1,17.48,1,TikTok,direct,small,False
5923839770676,8244665385012,2026-01-06,2026-01-06 04:23:16+00:00,2026,1,3,4,#JC720590,720590,16.15,2.84,1.33,0.0,17.48,18.99,0.17585139318885448,1,1,1,7,paid,fulfilled,False,True,True,1,17.48,1,TikTok,direct,small,False
5943769628724,8271704227892,2026-01-19,2026-01-19 19:27:40+00:00,2026,1,2,19,#JC729947,729947,16.19,2.8,1.17,0.0,17.36,18.99,0.17294626312538602,1,1,1,1,paid,fulfilled,False,False,True,1,17.36,1,TikTok,direct,small,False
